STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1480,10125-395093266,10292422,Cà Phê Muối Chú Long - Phan Thiết,10/12/2025 11:05,"29,000","7,250",0,0,"5,340",0,"16,410"
1481,10125-395152935,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 11:30,"29,000","5,000",0,0,"5,892",0,"18,108"
1482,10125-395533743,10235658,Cà Phê Muối Chú Long - Công Trường Quốc Tế,10/12/2025 11:24,"87,000","15,000",0,0,"17,676",0,"54,324"
1483,10125-395571195,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 11:25,"22,000","6,600",0,0,"3,781",0,"11,619"
1484,10125-395637002,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:19,"394,000","26,000",0,0,"90,344",0,"277,656"
1485,10125-395705561,10324687,Cà Phê Muối Chú Long - Huỳnh Tấn Phát,10/12/2025 11:12,"58,000","11,000",0,0,"11,539",0,"35,462"
1486,10125-395842744,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 11:26,"167,000","48,000",0,0,"29,215",0,"89,786"
1487,10125-396620773,10235659,Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,10/12/2025 11:32,"168,000","48,000",0,0,"29,460",0,"90,540"
1488,10125-396624788,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 11:38,"54,000","11,000",0,0,"10,557",0,"32,444"
1489,10125-396686524,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 12:07,"65,000","11,000",0,0,"13,257",0,"40,743"
1490,10125-396936853,10235663,Cà Phê Muối Chú Long - Hà Huy Giáp,10/12/2025 11:13,"44,000","10,000",0,0,"8,347",0,"25,653"
1491,10125-396937524,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 11:47,"44,000","13,200",0,0,"7,561",0,"23,239"
1492,10125-397047116,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 11:21,"22,000","5,000",0,0,"4,174",0,"12,827"
1493,10125-397185890,10358037,Cà Phê Muối Chú Long - Hùng Vương,10/12/2025 11:41,"44,000","13,200",0,0,"7,561",0,"23,239"
1494,10125-397239778,10321437,Cà Phê Muối Chú Long - Tây Ninh,10/12/2025 11:14,"44,000","10,000",0,0,"8,347",0,"25,653"
1495,10125-397378566,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:38,"141,000","26,000",0,0,"28,233",0,"86,768"
